economy,year,pct_change_co2_if_gdp_up_10
LAC,2020,4.200738908024304
MUS,2021,4.200738908024304
MEA,2020,4.200738908024304
MEX,2021,4.200738908024304
MKD,2021,4.200738908024304
MLT,2021,4.200738908024304
MMR,2021,4.200738908024304
MNA,2020,4.200738908024304
MNG,2021,4.200738908024304
URY,2021,4.200738908024326
